# data_record_date: Chaitra 25,,,,,,,,,
# data_entry_date: June 19,,,,,,,,,
"# row12_L04 seems to be duplicated and row9_L09 is improbable entry because only 8 entries exist in the row, so these entries have been omitted",,,,,,,,,
# data sheet yield_traits_with_desmat.csv:,,,,,,,,,
# has been transcripted to include check_133(?) as 14th plot and subsequent check labels have been added “1” to obtain numbering,,,,,,,,,
# unlabelled and NA observations have been omitted,,,,,,,,,
# one dubious observation Row2_check12 have been omitted,,,,,,,,,
plot,,panicle_length1,panicle_length2,panicle_length3,panicle_length4,grain_per_panicle1,grain_per_panicle2,grain_per_panicle3,grain_per_panicle4
Check_47,,14.5,19.6,15.7,16.3,28,26,23,27
Check_48,,19.4,17.9,15.8,17.3,27,28,31,31
Check_49,,14.3,15.2,17.7,18.1,27,24,28,23
Check_50,,17.2,15.4,15.6,16.2,29,27,23,25
Check_51,,16.2,14.3,17.1,16.1,25,27,32,26
Check_52,,14.4,14.2,13.7,14.6,27,29,28,27
Check_53,,16.3,16.1,18.3,14.6,29,30,20,25
Check_54,,16.7,17.6,16.4,17.8,33,32,27,27
Check_55,,17,18.4,16.4,17,36,35,28,31
Check_56,,19.1,17.6,16.2,18.3,25,27,28,30
Check_57,,17.1,16.3,18.1,18.2,26,26,22,24
Check_58,,18.6,17.9,16.6,15.7,26,21,29,25
Check_59,,19.6,17,18.3,16.2,27,23,32,27
Check_60,,15.8,17,17.1,15.9,26,24,22,24
Check_61,,21.1,18.2,17.8,18,29,33,34,27
Check_62,,18.3,18.2,17.2,18.2,33,30,27,32
Check_63,,15.8,14.6,15.9,17.2,32,25,26,30
Check_64,,17.3,17.6,18.4,15.3,27,30,28,30
Check_65,,20.7,21.8,19.3,20.9,34,32,33,33
Check_NA,,18.5,17.9,17.6,17.4,26,33,24,24
Line_16,,16.3,17.2,15.4,17.2,21,24,21,21
Line_17,,17.2,17.3,16,17.2,30,29,28,23
NA,,13.4,13.8,12.7,14.3,24,20,16,22
NA,,19.1,18.6,15.8,18.1,30,27,25,34
Row1_L02,,20.6,21.5,21.3,19.9,30,35,32,30
Row1_L07,,16.1,16.4,14.6,15.2,26,25,30,31
Row1_L08,,17.8,17.9,15.7,16.5,27,28,30,33
Row1_L4,,20.4,20.2,18.4,17.9,32,31,30,30
Row1_L5,,15.9,17.4,15.7,16.3,35,43,32,37
Row1_L6,,20.2,20.4,19.8,18.1,33,32,29,31
Row10_L01,,19.6,17.3,17.9,19.6,31,30,30,31
Row10_L02,,18.4,19,18.7,17.4,23,24,24,21
Row10_L03,,14.2,18,16.3,17,33,29,29,24
Row10_L04,,14.3,15.2,14.5,13.8,23,26,24,25
Row10_L05,,14.3,13.2,12.3,13,18,23,23,29
Row10_L07,,15.2,16.4,14.3,16.5,26,24,23,24
Row11_L01,,16,15.3,15.3,14.3,24,22,23,24
Row11_L02,,15.5,15.7,14.9,15,21,22,23,26
Row11_L03,,15.5,16.3,17.2,17.3,28,24,30,22
Row11_L04,,17,17.5,16.2,15.3,27,24,26,25
Row11_L05,,14.6,15.3,13.8,14.2,29,27,24,26
Row11_L06,,17.1,16.6,16.8,16.9,27,30,25,32
Row11_L07,,19.2,18.6,18.8,18.9,30,34,32,25
Row11_L08,,16.8,16.6,17,16.3,24,22,23,26
Row11_L09,,14.5,15.7,16.1,14.8,29,27,28,27
Row12_L03,,16.7,18.3,18.6,17.6,25,26,23,26
Row12_L04,,17.4,17.2,16.9,20.8,28,26,30,33
Row12_L04,,17.9,17.4,18.6,19,25,28,27,30
Row12_L05,,16.5,17.3,16.1,16.5,24,23,25,24
Row12_L06,,15.1,17.3,14.2,14.7,21,25,24,25
Row12_L07,,15.3,16.6,15.6,14.8,24,27,29,28
Row12_L09,,NA,NA,NA,NA,28,27,30,24
Row2_Check12,?,14.9,16.3,16.7,14.7,26,24,27,27
Row2_L09,,18.3,18.2,17.8,17.3,33,34,29,28
Row2_L10,,17,17,16.8,16.9,43,33,42,44
Row2_L11,,16.8,14.2,16.2,16.7,27,26,29,23
Row2_L14,,17.1,18.5,16.3,15.2,25,19,27,23
Row3_L08,,15.5,15.4,15.2,15.1,20,21,21,22
Row3_L19,,15.8,16,15.8,15.4,32,26,25,21
Row3_L20,,15.6,16.2,15.5,16.3,24,24,26,25
Row3_L21,,16.3,15.9,15.4,16.1,24,26,31,24
Row3_L24,,16.1,16.9,17.6,17.3,24,24,23,24
Row4_L01,,16.2,17.1,16.3,15.6,24,26,26,24
Row4_L02,,14.4,15.2,14.3,16.7,23,26,20,20
Row4_L03,,NA,NA,NA,NA,27,27,23,28
Row4_L04,,15.8,16.4,14.7,14.5,22,25,26,22
Row4_L05,,14.4,16,15.3,15.3,21,20,25,26
Row4_L07,,14.8,14.5,15.9,16.2,30,27,21,20
Row4_L08,,14.3,14.5,15,13.2,27,26,26,28
Row4_L09,,17.2,17.2,18.4,19.3,27,27,28,26
Row5_L01,,16,15.6,15.5,16.2,26,26,28,23
Row5_L03,,NA,NA,NA,NA,22,21,24,20
Row5_L04,,14.8,15.4,15.9,16.5,24,22,28,23
Row5_L05,,17.2,15.4,14.8,15.4,23,28,31,29
Row5_L06,,18.4,18.9,17.1,16.4,25,28,26,24
Row5_L07,,16.6,18.3,17.7,16.4,28,28,32,32
Row5_L08,,15.8,16.9,14.6,17.2,29,29,20,30
Row5_L10,,14.6,15.4,14.4,13.7,21,25,29,22
Row6_L01,,17.2,17.1,17.1,18.2,26,26,25,24
Row6_L02,,15.6,15.2,16.3,18.8,33,29,30,29
Row6_L03,,17.6,18.4,19.4,14.3,22,26,24,27
Row6_L04,,19.3,15.9,17.2,15.6,28,24,26,30
Row6_L05,,14.7,13.3,14.6,14.2,26,26,30,26
Row6_L06,,15.3,17.3,15.9,15.4,26,28,24,25
Row6_L07,,17.3,14.4,16.1,13.8,21,26,26,21
Row6_L08,,NA,NA,NA,NA,34,30,32,28
Row7_L01,,19.2,17.3,18,19.6,32,23,25,29
Row7_L02,,14.7,16.3,16.4,16.2,20,22,23,23
Row7_L03,,16.4,15.2,15.2,15.3,23,27,25,26
Row7_L04,,14.6,14.8,14.4,14.2,24,24,27,20
Row7_L05,,16.9,16.6,17.9,17.4,28,29,25,24
Row7_L06,,17.4,16.9,15.7,17.6,26,26,25,23
Row7_L07,,17.2,15.1,15.7,15.4,24,27,22,23
Row7_L08,,15.5,14,15.6,14.3,34,26,28,35
Row8_L01,,14.9,14.7,14.5,14.2,24,24,23,21
Row8_L03,,13.9,14.2,14.4,13.5,24,24,22,25
Row8_L04,,17.3,18.4,17.9,16.3,29,26,29,27
Row8_L05,,15.7,,,,23,25,23,24
Row8_L06,,18,15.4,15.4,18,31,30,24,27
Row8_L07,,NA,NA,NA,NA,30,28,27,26
Row8_L08,,19.1,19.7,18.2,19.9,30,26,27,27
Row8_L09,,18,17.8,17.2,16.4,28,30,31,26
Row9_L02,,17.3,15.4,14.7,14.7,21,21,26,25
Row9_L03,,20.8,18.2,19.1,17.4,31,29,35,26
Row9_L04,,14.6,14.4,15.3,15.2,27,28,27,25
Row9_L05,,14.7,14.4,13.8,14.4,19,20,24,25
Row9_L07,,NA,NA,NA,NA,27,27,23,22
Row9_L08,,NA,NA,NA,NA,26,26,22,22
Row9_L09,,18.5,15.4,14.8,19.3,28,20,29,25
